name,pca_0,pca_1,pca_2,pca_3,is_all_star
Tariq Abdul-Wahad,-9.4567901429109,-0.21879876450037425,-0.7965630513665964,-0.23867151904686493,0
Shareef Abdur-Rahim,10.504736982563598,4.932189935050744,0.44384179711268607,-1.027825231382284,1
Courtney Alexander,1.5811775052123929,1.143361249887426,-0.30685742294768426,0.8763514917756722,0
Victor Alexander,-0.7902606658765496,11.287034601876242,-1.6862980859321288,1.0351467170484974,0
Malik Allen,1.0325536370196222,-1.9463978122477605,1.714459227012435,0.7240429104351556,0
Ray Allen,13.9182649393734,2.2928440336506872,-1.1757623708735918,-2.4700288443291702,1
Rafer Alston,1.6206903158315897,-0.39754725986359457,-0.23439580417852818,0.5248209437455413,0
John Amaechi,-6.91421182946231,4.525098000430654,-2.388371033796922,0.9032937428818933,0
Chris Andersen,-0.9029521219861042,-0.9757478621072366,2.3363518128967207,0.7117602010659728,0
Derek Anderson,4.024048604440748,-0.9623507707968147,-0.4666716687484471,-0.7706007269034663,0
Kenny Anderson,-0.5096264326892526,-1.567361246442444,1.5454484131690973,-0.44561249540768993,0
Nick Anderson,-7.5333287075222986,3.575739983412248,-2.6317732775009106,0.08811217563470707,0
Shandon Anderson,-5.757222460079443,-1.79840268973076,-1.3066067565724402,0.2477251306527911,0
Greg Anthony,-0.6249945767707887,0.4035116068667054,-0.24632601411103108,0.4858870549256287,0
Gilbert Arenas,5.106067177602072,-0.45159099796285607,0.6284742686404856,0.18751862817079953,0
Brandon Armstrong,-8.4749630563641,7.167367706476916,-2.331092015223262,0.22073057455938608,0
Darrell Armstrong,4.563024349958528,-2.5537523020226938,0.5448811060852461,-2.0422832143828855,0
Carlos Arroyo,-1.046457726501165,0.17170432163771707,0.38924318815579967,0.5649063096739763,0
Chucky Atkins,3.212520413780892,-0.06190122986813595,-0.8823084084906718,-0.44397479706664195,0
Stacey Augmon,-2.8586997091589734,-2.932587377021365,0.5413329073744952,-0.03922402126410869,0
Isaac Austin,-7.229974054299323,-0.3220039879628032,0.5005153182983554,0.255741211988908,0
William Avery,-6.526601844092594,4.309771086456015,-2.823019005659261,0.29006332427421017,0
Dalibor Bagarić,-5.567484939932035,2.1250145631740676,0.3913206195541705,0.9872928670505293,0
Vin Baker,2.9334650559199975,4.271956053558991,-0.3029408771602013,1.7346165167537169,0
Erick Barkley,-4.757311770444515,0.2894130249950571,0.8881501852717745,0.2849085973471356,0
Dana Barros,-1.762213407810441,1.0466031249226253,-1.2539232694465152,0.5072670063571579,0
Brent Barry,7.2866545872892265,-5.335688236343167,1.090259569678071,-4.649908504454215,0
Jon Barry,5.186477512513782,-4.65685188186712,0.8106611202320771,-2.026836116616014,0
Mengke Bateer,-5.7768212271004185,3.7324941199490778,0.15535841407729925,0.8061434508510588,0
Tony Battie,-1.0181586732155328,-5.883957262287625,2.378630258149269,-0.15011008678384172,0
Shane Battier,1.7428142327475251,-1.279709749478684,-0.36021253452391533,-1.218386775557946,0
Charlie Bell,-14.597279721209322,-4.411189669817467,0.004908945319630651,-0.8747219803937254,0
Raja Bell,-5.335329106400839,-0.9393559162729078,-0.6469570616092077,0.3407668728674301,0
Jonathan Bender,-2.0760454247339464,-0.7100877618387967,-1.1975096713217472,0.41134058982632316,0
Travis Best,0.9530272688630193,-1.4565680876276044,0.8807411103306656,0.3739580322504861,0
Mike Bibby,3.089606569286107,-0.14472008573846062,-0.11034279069968754,-0.7288738520565302,0
Chauncey Billups,6.985979977082364,-1.0887591486467976,-0.5011579866580209,-1.507536311105177,0
Mookie Blaylock,-5.133060225255654,-4.155959033776886,-0.7477717927512303,0.04704543554509762,0
Corie Blount,-5.752695480191272,-6.507609215326941,0.9355192135953898,-0.19370592175346446,0
Mark Blount,-7.034565872290679,-3.2076193399045665,1.8467291637711507,0.14070258491342794,0
Calvin Booth,-1.863976754103642,0.3362968894183521,0.8789084210758429,0.5014645744647752,0
Ruben Boumtje-Boumtje,-10.290096300824395,-4.325169856495138,0.9800959501283435,-0.2389881641111645,0
Cal Bowdler,-4.581743979644863,-1.208920013578721,-0.3153923303974726,0.4309076191607419,0
Bruce Bowen,-5.743891185864519,-3.1058157286522103,-1.254729784003604,-0.41612324491708924,0
Ryan Bowen,-4.49919994704346,-7.079207166981517,1.214786877083153,-0.41929693810476265,0
Ira Bowman,1.1613383260073982,-8.48042501148528,2.0092687393907593,0.43594070827480924,0
Earl Boykins,2.685210487412478,0.5758679153884885,-1.2087378083707216,0.7172821885158246,0
Michael Bradley,-5.380458016946314,-3.3657750999813243,0.8334810767545315,0.13514377518213977,0
Shawn Bradley,-1.0285275622923482,-5.385054937269852,2.642797632696231,0.07580626181771159,0
Elton Brand,12.304434543828815,-1.7603912253874408,2.7702093730237185,-2.9765606902865653,1
Terrell Brandon,10.279372284270512,-1.6930392982357179,0.9576556018386514,-0.14886291486366235,0
Jamison Brewer,-6.959716789980456,-8.052344173757469,1.5516043867138276,-0.24465819457139065,0
Primož Brezec,-5.224903233577527,-4.001237912687844,0.36245712997074897,0.12847305607910134,0
Chucky Brown,-4.321988228926566,-1.4659824075920396,0.41043006531336157,0.13765184180151327,0
Damone Brown,-10.445065193530523,8.52350155288103,-3.062348702160427,-0.17919838179635772,0
Dee Brown,-17.663904125476847,4.517045992653692,-3.237937963963315,-0.8829520002465363,0
Ernest Brown,-22.523693147507007,15.14733513021359,-4.854374800531151,-1.1466276183586837,0
Kedrick Brown,-2.111646171977477,-1.939669300944811,0.554736778907129,0.13871494071573812,0
Kwame Brown,-2.1136056499834726,0.8184878562573558,0.13689345739964293,0.8470577669503478,0
P.J. Brown,0.29197996874596044,-6.6610321721987,1.732032831727417,-0.9798037884063502,0
Randy Brown,-7.091464762300039,-9.426117228971993,-0.7859957568180035,-0.40572947152485683,0
