name,pca_0,pca_1,pca_2,pca_3,is_all_star
Tariq Abdul-Wahad,-777.1111509447198,7.322802674951645,2.8039253154267,8.162354265652608,0
Shareef Abdur-Rahim,1762.5441438318219,15.489162215153288,11.165470922904968,2.7898045188370975,1
Courtney Alexander,107.4803063264256,-0.7760509772071906,-3.6833986104165537,1.3805323390636526,0
Victor Alexander,-1121.1515057894896,10.128482505133551,11.274292049336285,-1.9016268401007013,0
Malik Allen,-1057.2343031846453,11.952915091556484,13.00384360124474,-5.126120822286077,0
Ray Allen,1307.5444825960255,16.532093679866257,-0.36003720151460095,-4.460370565319081,1
Rafer Alston,-617.3616622025578,-3.320923963927549,-22.97985539869318,-14.122538306137313,0
John Amaechi,-631.424850497886,-17.151853079174774,-4.232684965200088,5.179455688505441,0
Chris Andersen,-956.0081484994157,1.6587872851015115,13.385043893173924,-2.8375686970717804,0
Derek Anderson,642.7069879410619,-0.16885157544617846,-7.831398534129637,-2.297576448625216,0
Kenny Anderson,1212.672941594491,7.988700048074217,-10.970970097839768,3.209870922942734,0
Nick Anderson,-999.2233694568636,12.717935452154178,0.8008205970577632,5.618002757850356,0
Shandon Anderson,378.96027406410667,-22.226942901927604,-4.908958957256678,6.1531244441844235,0
Greg Anthony,296.5542799724047,4.46648992928344,-16.997508141387737,-0.9686428267694792,0
Gilbert Arenas,-62.62180356349638,8.3729755184207,-11.110901358458598,-7.003019984657689,0
Brandon Armstrong,-1021.7588255437026,-6.3763716605176,-8.485363445277665,7.5341763842995055,0
Darrell Armstrong,1512.7532888865871,8.649420186149868,-8.074999634219118,1.1310712973091717,0
Carlos Arroyo,-846.6401529034316,2.7358606913392394,-20.08502748358986,-9.209063800310846,0
Chucky Atkins,1067.7846072535483,1.266031041766093,-11.049493475151166,2.319553228246048,0
Stacey Augmon,101.97638856326427,-21.87553367065981,-6.718956088997676,-1.8578292209072387,0
Isaac Austin,-911.108850231532,6.519840221312524,8.393608979339172,3.3830320851305835,0
William Avery,-959.8948407335005,5.151416963629839,-12.877259495223136,1.8425879324681638,0
Dalibor Bagarić,-579.5295391982684,-13.886780231006423,4.928442213071275,3.1967389538482127,0
Vin Baker,492.31507406873976,6.1571483340329065,8.055434653343614,5.937007764874218,0
Erick Barkley,-990.0715516174163,13.59436721657871,-12.490211230763396,-1.8299963440361466,0
Dana Barros,-635.9228000110844,11.827093166551338,-10.414038826447685,-2.5110315301607504,0
Brent Barry,1822.6595598634337,14.711109089540038,1.2481293087117553,0.580763662940503,0
Jon Barry,767.989157599038,-7.777948071821135,-11.637746838060966,-7.189201206192276,0
Mengke Bateer,-810.0007282123837,4.1113203289907405,5.792092559680502,4.472910995235496,0
Tony Battie,601.7383755218839,-12.491530868130557,10.993571518302018,2.7634401427913686,0
Shane Battier,1879.4655783162696,15.464973764107135,5.1939810026677184,13.002433123860618,0
Charlie Bell,-1174.4089948692445,10.991785893169219,16.996054623512194,6.733571183180379,0
Raja Bell,-326.98513382728044,-27.26141586374846,-13.987308964288959,-1.12341110612118,0
Jonathan Bender,429.8689881630728,-17.125097527685693,-2.331612104188693,4.98125609226605,0
Travis Best,529.8417824467813,-3.043154304564342,-19.641637154428214,-4.158291505889219,0
Mike Bibby,1441.704333584771,8.743743332038205,-8.860025365062706,4.437481082088427,0
Chauncey Billups,1137.8973964117756,2.6496159842429368,-13.876313856109816,-5.318612687893219,0
Mookie Blaylock,-618.7921392400737,7.432562400744134,-17.684038819398996,-2.3310037295207797,0
Corie Blount,208.77687919128158,-19.04756241865649,5.493212024113706,3.4221204639679925,0
Mark Blount,-802.6053278943656,-13.534201368909514,1.8757812436424333,2.535605353115772,0
Calvin Booth,-939.2177755312501,13.05719609658564,6.565040409429114,0.073282687631014,0
Ruben Boumtje-Boumtje,-972.8509567341375,-8.231938481325889,6.005350998738517,6.106527023762493,0
Cal Bowdler,-632.4452935179037,-17.014517559461005,1.7716703936593579,0.5440053814998902,0
Bruce Bowen,481.3891663131844,2.134336791215578,-1.8755391212869965,10.220368959928441,0
Ryan Bowen,468.77981205874806,-15.365255482058934,2.098447321820999,5.153420800030594,0
Ira Bowman,-1189.3783040925396,19.904102525106865,-0.1472710487199998,-6.994521283194622,0
Earl Boykins,-455.98855592301356,-17.283205985511593,-27.634262778725613,-13.088764299550034,0
Michael Bradley,-1099.940625282663,-2.8304647944861627,5.581578884443929,1.3766054267395738,0
Shawn Bradley,-460.44136354958243,-14.671681651757263,5.971446077072052,-4.230344768359411,0
Elton Brand,1802.6297611651162,11.189367373703364,18.965532519075296,-1.4666703965995287,1
Terrell Brandon,-255.81506383133163,24.142104876095036,-18.694411753689266,-19.788271337571818,0
Jamison Brewer,-1175.1656161561455,15.101056670461407,-10.96516506038662,-5.25456417800467,0
Primož Brezec,-1058.0419766440905,2.641105902539534,2.862852558157722,1.6208659066294728,0
Chucky Brown,-1126.0942712518852,4.30816235184744,13.563263273094039,-4.140648698590649,0
Damone Brown,-1151.1892576603,7.593733366345505,-6.895092541165829,15.130112485116545,0
Dee Brown,-1153.4542489882642,14.251992527882148,3.0863899512099042,19.083780403993032,0
Ernest Brown,-1197.598775164641,14.522426865842048,16.02055030151618,26.303736795715515,0
Kedrick Brown,-972.8471963527372,-0.5584675779241411,3.043074328179898,-6.373111623815776,0
Kwame Brown,-400.37643659361555,-15.474620444424119,3.0894006279851323,-1.7578121864589935,0
P.J. Brown,1345.6748159260567,-2.0143726723061097,16.85955947654721,5.40058272072267,0
Randy Brown,-1212.3392334863995,31.768975581259845,-26.915047414369518,-13.730724796143361,0
