name,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,is_all_star
Tariq Abdul-Wahad,-2.86578501572947,-0.5864069034431257,-3.502253127595147,1.904575631632466,-0.5975414462086969,4.199327130665764,-0.17325055449574925,-0.2672621728338898,0
Shareef Abdur-Rahim,-1.1571786621232694,2.014689193173171,0.7188124165713681,0.5257589181074535,-0.2367333409796259,-0.14808914247964036,1.8204427893511255,-0.5550542831464336,1
Courtney Alexander,-2.5426252009552646,-1.4186068474609634,0.6194855820724499,-0.992840896131885,-0.602640685283983,2.384548273014909,0.3171428703818162,0.6606815638211915,0
Victor Alexander,-2.494638327431873,0.4687753500773867,-1.1285731682871198,0.059116992797247574,0.4849575170035952,-0.030056076006836446,0.5856510240674104,-0.33530359960161754,0
Malik Allen,-0.21487792448399376,-1.8229741663322419,-1.1324893662191424,1.7902813566878488,0.8144341726745689,0.06925128320001392,-0.5239432846160818,0.5872403329782463,0
Ray Allen,-2.602249575213306,-0.9390638700440103,-0.5989776644383115,-0.004984438947615576,0.5989479409040608,1.7216602623663586,-0.06455300255422021,-0.14817763365922793,1
Rafer Alston,2.4442893667769128,-0.43480276476912927,0.6596615927635509,-0.2759015966468687,-1.0541644866685502,-1.465320022073736,0.40581834368426134,1.1814100020671952,0
John Amaechi,-1.5032370101740247,-0.2115912372689686,1.8194413046271967,-1.4204759824923603,1.1946844722214758,-0.7762147100947925,-0.0839297407585953,0.03816186001382127,0
Chris Andersen,-1.2111956148144176,-0.6953294554551351,1.0498173305543173,0.4732693911784201,1.5247725995861194,0.7101759295889417,0.6814504859116991,-0.18637993339065365,0
Derek Anderson,-2.7219285404657207,1.042410181177778,0.47718773278011023,-0.6791235976435793,1.103400852441851,-1.8076550574914374,-1.0969022427806057,-1.046897040848644,0
Kenny Anderson,1.03606487127821,0.05418990932389474,2.7246600672799004,-0.7258399757870921,-0.016826846607431188,-0.6013411313346756,0.5121305529823019,-0.05565320311036063,0
Nick Anderson,-1.8564821687003343,-0.9318718683166379,0.8443964759711828,2.3392578713663577,1.9834311613507383,-1.8309397813850896,-0.7765605874629585,-0.11337234353895713,0
Shandon Anderson,-8.06955180676148,1.3403119273121427,-5.830575593871568,-2.4749845274675253,0.5524765073858819,0.350874804154757,-0.45167519296202896,-2.0834640464097376,0
Greg Anthony,3.8920743205129735,-0.2022771422879971,-0.8055056332613619,-0.63820270625826,-1.678923713691861,-0.3567055296777994,-1.2634324291552999,1.470522855946104,0
Gilbert Arenas,1.1364993552743652,1.7774265566459955,0.7879245353089553,-0.1885166731450388,-0.8670293240440834,1.4687478720742653,0.6852715418811229,0.2875212999277784,0
Brandon Armstrong,2.21578085411936,0.03982001780243269,0.3836502947344182,0.4498099864632847,-1.0789999970464639,-1.6381374988482258,-0.9554155484648008,0.46643760213385027,0
Darrell Armstrong,0.0644026205166805,0.8272475743261701,-0.2480805707098373,0.024711466943447193,1.0615608306110862,-1.5944020854852843,-0.0458102553459797,-1.494138183395446,0
Carlos Arroyo,2.815212596575717,0.010289587400728877,-0.6833276647171835,-0.7271318207298425,-0.5716481497646256,-0.05405067103423141,0.6340920400087549,-0.35605205943179696,0
Chucky Atkins,-2.1108299338656704,-1.0141964998956503,-0.1425565270745222,1.9458635506327957,0.07705899971053773,0.16057361180650498,0.15263790737886213,0.833350725338549,0
Stacey Augmon,0.18780852100943105,-1.2460640358981507,-0.22820168043216646,1.2571843906833802,0.5291680324207254,-1.340117590088014,-0.14635928822225724,1.1222921205775624,0
Isaac Austin,0.46350692331401977,-0.802346878359664,0.3365292821960453,-0.4450727889774028,0.9965628266473895,-1.3996558871671252,-0.29893646547421754,0.3281597634535427,0
William Avery,-0.35736968465738395,-0.3278759041797167,-0.9540197652895552,2.018201963876172,0.20158310706790886,-1.3882766171035592,0.7155158483469899,-0.6359981850237652,0
Dalibor Bagarić,-0.7607173348095854,4.275873553176243,-0.21843598629508706,-0.07347696480401547,-0.638847310591139,0.756622187771803,1.16725168617873,-0.49291203240718506,0
Vin Baker,-0.8887864496092247,-0.3839012373239789,-0.025363202789723597,-0.770969530862037,0.9759250952408614,-1.3633075690673688,-0.15879373349116804,-1.745767029769713,0
Erick Barkley,4.303237139043861,-0.6023114290354102,-0.48747316085080383,-0.0907737028393183,-1.4244306215136249,-0.3692374571865913,-0.6444080392489618,1.8377262013855395,0
Dana Barros,-1.2500409477804468,0.346414397534683,0.5298368744718001,-0.5063695058088213,0.09220151847082379,-0.36283320138083774,0.023219921668991752,1.2857912290384432,0
Brent Barry,-4.623445489790264,-0.9464014818952776,-1.0699520628905683,-1.8869901590155413,2.2216562257369534,-0.5477336917440853,0.9530351699972832,-2.7375060178582413,0
Jon Barry,5.142394523348056,-0.9137763400861687,-0.26113407772183167,-2.275666488277864,1.09459958440051,1.7582681749667601,-0.7451670383376983,0.6676757899917612,0
Mengke Bateer,-2.1457965299231385,-0.5425552172850736,-0.5149639593889611,0.434178403954937,-0.12244800982007539,0.43233177866894423,0.06560864670878784,0.1968401673658941,0
Tony Battie,-0.5780980271773248,-2.219346019029301,-0.2781987529309455,1.122968049624248,0.25816087456786996,0.0038291709212844222,0.6666806390871884,0.27393958181036254,0
Shane Battier,-2.314164524932906,-0.3534426839455387,0.4520586543854028,-0.9783063949177782,-0.9458246776923792,0.678450148336301,-2.025127658962357,-0.022000401232486592,0
Charlie Bell,-1.3332147871784268,2.365483909870926,0.44987467189600394,-0.10601495592745401,0.026133898861675636,0.17337004258422384,-1.0770062978095656,0.7863804081858934,0
